PokemonName,BWSpr#,Home#,PokemonDbName,ShowdownName,PorygonName,Type1,Type2,Ability1,Ablity2,AbilityHidden,HP,Atk,Def,SpA,SpD,Spe,HpWall,PhysAttacker,SpecAttacker,PhysDefender,SpecDefender,SpeedAbility,Fast,Pivot,Price,IconLink
Charizard-Gmax,006-gi,6-gmax,charizard-gigantamax,charizard-gmax,Charizard-Gmax,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,https://www.serebii.net/pokedex-swsh/icon/006-gi.png
Squirtle,007,7,squirtle,squirtle,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/007.png
Wartortle,008,8,wartortle,wartortle,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/008.png
Blastoise,009,9,blastoise,blastoise,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,11,https://www.serebii.net/pokedex-swsh/icon/009.png
Mega Blastoise,009-m,9-1,blastoise-mega,blastoise-mega,Blastoise-Mega,Water,,Mega Launcher,,,79,103,120,135,115,78,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,12,https://www.serebii.net/pokedex-swsh/icon/009-m.png
Blastoise-Gmax,009-gi,9-gmax,blastoise-gigantamax,blastoise-gmax,Blastoise-Gmax,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,https://www.serebii.net/pokedex-swsh/icon/009-gi.png
Caterpie,010,10,caterpie,caterpie,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/010.png
Metapod,011,11,metapod,metapod,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/011.png
Butterfree,012,12,butterfree,butterfree,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/012.png
Butterfree-Gmax,012-gi,12-gmax,butterfree-gigantamax,butterfree-gmax,Butterfree-Gmax,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,https://www.serebii.net/pokedex-swsh/icon/012-gi.png
Weedle,013,13,weedle,weedle,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/013.png
Kakuna,014,14,kakuna,kakuna,Kakuna,Bug,Poison,Shed Skin,,,45,25,50,25,25,35,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/014.png
Beedrill,015,15,beedrill,beedrill,Beedrill,Bug,Poison,Swarm,,Sniper,65,90,40,45,80,75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/015.png
Mega Beedrill,015-m,15-1,beedrill-mega,beedrill-mega,Beedrill-Mega,Bug,Poison,Adaptability,,,65,150,40,15,80,145,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,11,https://www.serebii.net/pokedex-swsh/icon/015-m.png
Pidgey,016,16,pidgey,pidgey,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/016.png
Pidgeotto,017,17,pidgeotto,pidgeotto,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/017.png
Pidgeot,018,18,pidgeot,pidgeot,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/018.png
Mega Pidgeot,018-m,18-1,pidgeot-mega,pidgeot-mega,Pidgeot-Mega,Normal,Flying,No Gaurd,,,83,80,80,135,80,121,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,10,https://www.serebii.net/pokedex-swsh/icon/018-m.png
Rattata,019,19,rattata,rattata,Rattata,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/019.png
Rattata-Alola,019-a,19-1,rattata-alolan,rattata-alola,Rattata-Alola,Dark,Normal,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/019-a.png
Raticate,020,20,raticate,raticate,Raticate,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/020.png
Raticate-Alola,020-a,20-1,raticate-alolan,raticate-alola,Raticate-Alola,Dark,Normal,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,https://www.serebii.net/pokedex-swsh/icon/020-a.png
Spearow,021,21,spearow,spearow,Spearow,Normal,Flying,Keen Eye,,Sniper,40,60,30,31,31,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/021.png
Fearow,022,22,fearow,fearow,Fearow,Normal,Flying,Keen Eye,,Sniper,65,90,65,61,61,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/022.png
Ekans,023,23,ekans,ekans,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/023.png
Arbok,024,24,arbok,arbok,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,https://www.serebii.net/pokedex-swsh/icon/024.png
Pikachu,025,25,pikachu,pikachu,Pikachu,Electric,,Static,,Lightning Rod,35,55,40,50,50,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/025.png
Pikachu-Gmax,025-gi,25-gmax,pikachu-gigantamax,pikachu-gmax,Pikachu-Gmax,Electric,,Static,,Lightning Rod,35,55,40,50,50,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,https://www.serebii.net/pokedex-swsh/icon/025-gi.png
Raichu,026,26,raichu,raichu,Raichu,Electric,,Static,,Lightning Rod,60,90,55,90,80,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,https://www.serebii.net/pokedex-swsh/icon/026.png
Raichu-Alola,026-a,26-1,raichu-alolan,raichu-alola,Raichu-Alola,Electric,Psychic,Surge Surfer,,,60,85,50,95,85,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9,https://www.serebii.net/pokedex-swsh/icon/026-a.png
Sandshrew,027,27,sandshrew,sandshrew,Sandshrew,Ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/027.png
Sandshrew-Alola,027-a,27-1,sandshrew-alolan,sandshrew-alola,Sandshrew-Alola,Ice,Steel,Snow Cloak,,Slush Rush,50,75,90,10,35,40,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/027-a.png
Sandslash,028,28,sandslash,sandslash,Sandslash,Ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,https://www.serebii.net/pokedex-swsh/icon/028.png
Sandslash-Alola,028-a,28-1,sandslash-alolan,sandslash-alola,Sandslash-Alola,Ice,Steel,Snow Cloak,,Slush Rush,75,100,120,25,65,65,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5,https://www.serebii.net/pokedex-swsh/icon/028-a.png
Nidoran-F,029,29,nidoran-f,nidoranf,Nidoranf,Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/029.png
Nidorina,030,30,nidorina,nidorina,Nidorina,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/030.png
Nidoqueen,031,31,nidoqueen,nidoqueen,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,https://www.serebii.net/pokedex-swsh/icon/031.png
Nidoran-M,032,32,nidoran-m,nidoranm,Nidoranm,Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/032.png
Nidorino,033,33,nidorino,nidorino,Nidorino,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/033.png
Nidoking,034,34,nidoking,nidoking,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,https://www.serebii.net/pokedex-swsh/icon/034.png
Clefairy,035,35,clefairy,clefairy,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,https://www.serebii.net/pokedex-swsh/icon/035.png
Clefable,036,36,clefable,clefable,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,16,https://www.serebii.net/pokedex-swsh/icon/036.png
Vulpix,037,37,vulpix,vulpix,Vulpix,Fire,,Flash Fire,,Drought,38,41,40,50,65,65,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/037.png
Vulpix-Alola,037-a,37-1,vulpix-alolan,vulpix-alola,Vulpix-Alola,Ice,,Snow Cloak,,Snow Warning,38,41,40,50,65,65,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/037-a.png
Ninetales,038,38,ninetales,ninetales,Ninetales,Fire,,Flash Fire,,Drought,73,76,75,81,100,100,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,9,https://www.serebii.net/pokedex-swsh/icon/038.png
Ninetales-Alola,038-a,38-1,ninetales-alolan,ninetales-alola,Ninetales-Alola,Ice,Fairy,Snow Cloak,,Snow Warning,73,67,75,81,100,109,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,13,https://www.serebii.net/pokedex-swsh/icon/038-a.png
Jigglypuff,039,39,jigglypuff,jigglypuff,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/039.png
Wigglytuff,040,40,wigglytuff,wigglytuff,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,https://www.serebii.net/pokedex-swsh/icon/040.png
Zubat,041,41,zubat,zubat,Zubat,Poison,Flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/041.png
Golbat,042,42,golbat,golbat,Golbat,Poison,Flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,https://www.serebii.net/pokedex-swsh/icon/042.png
Oddish,043,43,oddish,oddish,Oddish,Grass,Poison,Chlorophyll,,Run Away,45,50,55,75,65,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/043.png
Gloom,044,44,gloom,gloom,Gloom,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,https://www.serebii.net/pokedex-swsh/icon/044.png
Vileplume,045,45,vileplume,vileplume,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,https://www.serebii.net/pokedex-swsh/icon/045.png
Paras,046,46,paras,paras,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/046.png
Parasect,047,47,parasect,parasect,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,https://www.serebii.net/pokedex-swsh/icon/047.png
Venonat,048,48,venonat,venonat,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/048.png
Venomoth,049,49,venomoth,venomoth,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5,https://www.serebii.net/pokedex-swsh/icon/049.png
Diglett,050,50,diglett,diglett,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,https://www.serebii.net/pokedex-swsh/icon/050.png
Diglett-Alola,050-a,50-1,diglett-alolan,diglett-alola,Diglett-Alola,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/050-a.png
Dugtrio,051,51,dugtrio,dugtrio,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,https://www.serebii.net/pokedex-swsh/icon/051.png
Dugtrio-Alola,051-a,51-1,dugtrio-alolan,dugtrio-alola,Dugtrio-Alola,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,https://www.serebii.net/pokedex-swsh/icon/051-a.png
Meowth,052,52,meowth,meowth,Meowth,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/052.png
Meowth-Alola,052-a,52-1,meowth-alolan,meowth-alola,Meowth-Alola,Dark,,Pickup,Technician,Rattled,40,35,35,50,40,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/052-a.png
Meowth-Galar,052-g,52-2,meowth-galarian,meowth-galar,Meowth-Galar,Steel,,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/052-g.png
Meowth-Gmax,052-gi,52-gmax,meowth-gigantamax,meowth-gmax,Meowth-Gmax,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,https://www.serebii.net/pokedex-swsh/icon/052-gi.png
Persian,053,53,persian,persian,Persian,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,https://www.serebii.net/pokedex-swsh/icon/053.png
Persian-Alola,053-a,53-1,persian-alolan,persian-alola,Persian-Alola,Dark,,Fur Coat,Technician,Rattled,65,60,60,75,65,115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,https://www.serebii.net/pokedex-swsh/icon/053-a.png
Psyduck,054,54,psyduck,psyduck,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/054.png
Golduck,055,55,golduck,golduck,Golduck,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,https://www.serebii.net/pokedex-swsh/icon/055.png
Mankey,056,56,mankey,mankey,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/056.png
Primeape,057,57,primeape,primeape,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,https://www.serebii.net/pokedex-swsh/icon/057.png
Growlithe,058,58,growlithe,growlithe,Growlithe,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/058.png
Growlithe-Hisui,058-h,58,growlithe-hisuian,growlithe-hisui,Arcanine-Hisui,Fire,Rock,Intimidate,Flash Fire,Rock Head,60,75,45,65,50,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/058-h.png
Arcanine,059,59,arcanine,arcanine,Arcanine,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,https://www.serebii.net/pokedex-swsh/icon/059.png
Arcanine-Hisui,059-h,59,arcanine-hisuian,arcanine-hisui,Arcanine-Hisui,Fire,Rock,Intimidate,Flash Fire,Rock Head,95,115,80,95,80,90,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,https://www.serebii.net/pokedex-swsh/icon/059-h.png
Poliwag,060,60,poliwag,poliwag,Poliwag,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/060.png
Poliwhirl,061,61,poliwhirl,poliwhirl,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/061.png
Poliwrath,062,62,poliwrath,poliwrath,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,https://www.serebii.net/pokedex-swsh/icon/062.png
Abra,063,63,abra,abra,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/063.png
Kadabra,064,64,kadabra,kadabra,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,https://www.serebii.net/pokedex-swsh/icon/064.png
Alakazam,065,65,alakazam,alakazam,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,11,https://www.serebii.net/pokedex-swsh/icon/065.png
Mega Alakazam,065-m,65-1,alakazam-mega,alakazam-mega,Alakazam-Mega,Psychic,,Trace,,,55,50,65,175,105,150,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0,https://www.serebii.net/pokedex-swsh/icon/065-m.png
Machop,066,66,machop,machop,Machop,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/066.png
Machoke,067,67,machoke,machoke,Machoke,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,https://www.serebii.net/pokedex-swsh/icon/067.png
Machamp,068,68,machamp,machamp,Machamp,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,https://www.serebii.net/pokedex-swsh/icon/068.png
Machamp-Gmax,068-gi,68-gmax,machamp-gigantamax,machamp-gmax,Machamp-Gmax,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.serebii.net/pokedex-swsh/icon/068-gi.png
Bellsprout,069,69,bellsprout,bellsprout,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/069.png
Weepinbell,070,70,weepinbell,weepinbell,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/070.png
Victreebel,071,71,victreebel,victreebel,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,https://www.serebii.net/pokedex-swsh/icon/071.png
Tentacool,072,72,tentacool,tentacool,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,https://www.serebii.net/pokedex-swsh/icon/072.png
Tentacruel,073,73,tentacruel,tentacruel,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,9,https://www.serebii.net/pokedex-swsh/icon/073.png
Geodude,074,74,geodude,geodude,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/074.png
